line	FT	PH	GY	seqname
MG545	61.8643314453465	264.888356516164	229.263489360111	MG545-x-MG1522
MG1072	62.0234956464324	247.639348479831	223.67528612242	MG1072-x-MG1522
MG1037	62.660152450776	268.575031439779	229.987564462867	MG1037-x-MG1522
MG1272	60.4318536355735	259.00214365503	219.134453513069	MG1272-x-MG1522
MG496	61.5460030431747	237.362964755552	207.880562986099	MG496-x-MG1522
MG185	62.5009882496901	250.346472095239	230.005376884066	MG185-x-MG1522
MG97	62.3418240486042	245.234995268778	203.196340354703	MG97-x-MG1522
MG1166	63.7743018583772	256.392975170443	204.351030843144	MG1166-x-MG1522
MG730	62.1826598475183	286.491915368072	237.570314062948	MG730-x-MG1522
MG788	62.5009882496901	256.419690206121	231.527893971129	MG788-x-MG1522
MG237	61.3868388420888	253.338556091216	220.603978629364	MG237-x-MG1522
MG1171	61.3868388420888	266.945414263399	246.773103780536	MG1171-x-MG1522
MG445	63.2968092551195	269.429912581487	240.063163032953	MG445-x-MG1522
MG792	61.8643314453465	265.885717848157	214.904893041988	MG792-x-MG1522
MG57	62.6492565190388	275.706588720638	232.232521325049	MG57-x-MG1522
MG71	60.9093462388312	246.374836791055	204.703716871055	MG71-x-MG1522
MG842	61.7051672442606	263.125164161392	226.108018155849	MG842-x-MG1522
MG766	62.3418240486042	268.797656737099	238.497450818138	MG766-x-MG1522
MG648	62.9784808529478	263.21421428032	228.552773576594	MG648-x-MG1522
MG398	62.1826598475183	274.719489645804	257.104310654276	MG398-x-MG1522
MG415	60.7501820377453	258.004782323038	225.362568142311	MG415-x-MG1522
MG1494	63.6151376572913	256.205969920694	224.516923234479	MG1494-x-MG1522
MG479	61.0685104399171	256.330640087193	230.318875579996	MG479-x-MG1522
MG639	62.8193166518619	270.106693485339	242.211341566591	MG639-x-MG1522
MG671	62.660152450776	272.751482017497	250.774665198818	MG671-x-MG1522
MG452	63.7743018583772	259.251483988028	241.308251586032	MG452-x-MG1522
MG1179	61.5460030431747	264.291720719347	232.202539592701	MG1179-x-MG1522
MG925	58.5218832225428	256.437500229907	218.466487551117	MG925-x-MG1522
MG137	62.5009882496901	254.790073029741	200.543624860017	MG137-x-MG1522
MG1222	62.660152450776	272.163751232573	218.672221067398	MG1222-x-MG1522
MG498	60.5910178366594	264.371865826382	238.150108517922	MG498-x-MG1522
